ファッション,ふぁっしょん,ファッション
ガジェット,がじぇっと,ガジェット
スイーツ,すいーつ,スイーツ
写真・カメラ,しゃしん・かめら,シャシン・カメラ
音楽,おんがく,オンガク
カフェ,かふぇ,カフェ
お酒,おさけ,オサケ
カラオケ,からおけ,カラオケ
ダーツ・ビリヤード,だーつ・びりやーど,ダーツ・ビリヤード
ボーリング,ぼーりんぐ,ボーリング
スポーツジム,すぽーつじむ,スポーツジム
フットサル,ふっとさる,フットサル
キックボクシング,きっくぼくしんぐ,キックボクシング
バトミントン,ばとみんとん,バトミントン
卓球,たっきゅう,タッキュウ
サッカー,さっかー,サッカー
テニス,てにす,テニス
野球,やきゅう,ヤキュウ
ボルダリング,ぼるだりんぐ,ボルダリング
ランニング,らんにんぐ,ランニング
ラフティング,らふてぃんぐ,ラフティング
キャンプ,きゃんぷ,キャンプ
スノーボード,すのーぼーど,スノーボード
サーフィン,さーふぃん,サーフィン
自転車・車,じてんしゃ・くるま,ジテンシャ・クルマ
遊園地,ゆうえんち,ユウエンチ
旅行,りょこう,リョコウ
プログラム,ぷろぐらむ,プログラム
デザイン,でざいん,デザイン
企画,きかく,キカク
マーケティング,まーけてぃんぐ,マーケティング
営業,えいぎょう,エイギョウ
語学,ごがく,ゴガク
海外勤務,かいがいきんむ,カイガイキンム
漫画・アニメ,まんが・あにめ,マンガ・アニメ
料理,りょうり,リョウリ
映画,えいが,エイガ
芸術,げいじゅつ,ゲイジュツ
スポーツ観戦,すぽーつかんせん,スポーツカンセン
動物好き,どうぶつ ずき,ドウブツ ズキ
芸能・エンタメ,げいのう・えんため,ゲイノウ・エンタメ
ゲーム,げーむ,ゲーム